epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1611,2.63753,3.80406,2.01666,0.00016,0.04762,9e-05,1e-05,4.16706,5.67441,3.65033,8e-05,8e-05,8e-05
2,35.4156,2.46623,3.00715,1.7479,0.34141,0.04762,0.02596,0.00345,3.60633,5.3545,2.85342,0.000178218,0.000178218,0.000178218
3,51.3263,1.79419,2.01867,1.47733,0.94078,0.09524,0.14525,0.07322,2.49994,4.54989,2.13316,0.000274456,0.000274456,0.000274456
4,69.0019,1.45523,1.73456,1.25077,0.38009,0.09524,0.24401,0.13938,2.28523,4.34958,2.01071,0.000368714,0.000368714,0.000368714
5,85.4022,1.32151,1.66966,1.17516,0.77886,0.17034,0.3222,0.19248,2.34277,4.20952,1.93086,0.000460992,0.000460992,0.000460992
6,100,1.27172,1.53285,1.1207,0.84195,0.25533,0.37574,0.24175,2.21848,3.89506,1.81989,0.00055129,0.00055129,0.00055129
7,115.175,1.12954,1.3556,1.03884,0.85169,0.27481,0.36833,0.22499,2.18032,3.82719,1.829,0.000639608,0.000639608,0.000639608
8,143.529,1.02576,1.2383,0.99412,0.84255,0.2381,0.39699,0.27599,1.91862,3.62255,1.70583,0.000725946,0.000725946,0.000725946
9,158.191,1.04099,1.19034,0.99159,1,0.40595,0.54651,0.38679,1.65606,3.12874,1.49848,0.000810304,0.000810304,0.000810304
10,182.829,0.96207,1.10648,0.98385,1,0.40871,0.58992,0.4383,1.52895,2.96238,1.39695,0.000892682,0.000892682,0.000892682
11,197.629,0.90167,1.06124,0.96111,1,0.56647,0.74037,0.5401,1.25251,2.49072,1.22097,0.00097308,0.00097308,0.00097308
12,279.565,0.87276,1.05403,0.93311,1,0.86986,0.95507,0.66821,1.20279,1.99199,1.15706,0.0010515,0.0010515,0.0010515
