epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.2,0.72467,3.16661,1.12899,0.67452,0.42996,0.53373,0.47608,0.61385,2.76847,1.04884,0.000194168,0.000194168,0.000194168
2,787.92,0.68733,1.74333,1.09237,0.70859,0.69346,0.75659,0.66541,0.59511,1.6598,1.02776,0.000312915,0.000312915,0.000312915
3,1149.19,0.65553,1.4196,1.06702,0.83467,0.81588,0.82295,0.7346,0.58381,1.44052,1.02807,0.000354046,0.000354046,0.000354046
4,3534.18,0.64191,1.29368,1.06854,0.88912,0.83125,0.85293,0.77603,0.50154,1.17907,0.97252,0.000238728,0.000238728,0.000238728
5,4511.47,0.55699,1.09416,1.01292,0.89958,0.8529,0.86549,0.78631,0.47004,1.10765,0.95405,0.000122304,0.000122304,0.000122304
