epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16254,1.24078,1.16828,1.17835,0.96732,0.93696,0.95614,0.60963,1.26762,0.69135,1.22893,0.000666091,0.000666091,0.000666091
2,26901.5,1.20693,0.67985,1.17819,0.96788,0.93347,0.9707,0.65672,1.15045,0.59605,1.17654,0.00106887,0.00106887,0.00106887
3,34984.8,1.1783,0.61675,1.15841,0.97881,0.9413,0.97182,0.65573,1.18041,0.55191,1.17528,0.00120765,0.00120765,0.00120765
4,39009.8,1.14545,0.56596,1.13983,0.97915,0.94427,0.97408,0.66829,1.17716,0.4647,1.16291,0.000812,0.000812,0.000812
5,47673.7,1.1002,0.50672,1.11753,0.98105,0.95687,0.98187,0.69721,1.08105,0.43106,1.11437,0.000416,0.000416,0.000416
