epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8342.99,1.37062,1.64347,1.29285,0.78872,0.71765,0.76293,0.49654,1.24798,1.11643,1.07518,0.000416058,0.000416058,0.000416058
2,11843.7,1.27699,1.12999,1.23045,0.79058,0.7167,0.78427,0.51735,1.23146,0.95888,1.05632,0.000667845,0.000667845,0.000667845
3,27730.6,1.22225,0.98666,1.19776,0.81177,0.76897,0.83037,0.55881,1.14826,0.82927,1.01346,0.000754632,0.000754632,0.000754632
4,32682.9,1.14499,0.87874,1.15895,0.8472,0.78723,0.85545,0.60293,1.07018,0.73842,0.9838,0.0005075,0.0005075,0.0005075
5,35818.6,1.05277,0.76761,1.11241,0.86995,0.80439,0.87291,0.63762,1.01414,0.66153,0.9565,0.00026,0.00026,0.00026
