epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1010.06,1.88571,2.51608,1.58949,0.47658,0.49348,0.48657,0.19272,1.9317,2.21542,1.61092,0.000553164,0.000553164,0.000553164
2,2360.77,1.73006,1.85493,1.47881,0.65963,0.56041,0.56451,0.20545,2.00356,1.88641,1.67791,0.000889282,0.000889282,0.000889282
3,3167.35,1.68334,1.68243,1.45251,0.52197,0.58152,0.55457,0.17427,2.31333,1.77232,1.86607,0.00100536,0.00100536,0.00100536
4,4478.37,1.62151,1.50577,1.42323,0.56947,0.64076,0.59646,0.20308,2.20202,1.52634,1.84095,0.000676802,0.000676802,0.000676802
5,29281.9,1.55649,1.34357,1.37569,0.75225,0.66685,0.71272,0.30864,1.8752,1.28653,1.55485,0.000346736,0.000346736,0.000346736
